Hashtags,Context,Date,Year,Title,Authors,Download,Filename,
LID,Spoken Language Identification,2019-09-09,2019,Multi-Head Self-Attention Networks for Language Identification,"RK Vuddagiri, HK Vydana, T Mandava, AK Vuppala",http://scholar.google.com/scholar_url?url=http://web2py.iiit.ac.in/research_centres/publications/download/inproceedings.pdf.ac89a68621d7a23e.5261766920567564646167697269205b4943332d323031395d2e706466.pdf&hl=en&sa=X&d=16883424801377987641&scisig=AAGBfm2OtHpsZtWNAgKuD5-ffKDY5pELQA&nossl=1&oi=scholaralrt&hist=mmMKx-QAAAAJ:14018764898923142021:AAGBfm2mb_WYfRXtpuHII2KnnZs8al1dQQ,speaker_recognition-Ahilan_Kanagasundaram_Thesis.pdf,"Self-attention networks are being popularly employed in sequence classification and sequence summarization tasks. State-of-the-art models use sequential models to
capture the high-level information, but these models are sensitive to length of …"
,"I-Vector PLDA, Short Utterance",2019-09-10,Oct. 2014,Speaker Verification using I-vector Features,Ahilan Kanagasundaram,https://eprints.qut.edu.au/77834/1/Ahilan_Kanagasundaram_Thesis.pdf,spoken_language_identification-Ravi_Vuddagiri_[IC3-2019].pdf,"Ph.D. Thesis, Queensland University of Technology"
