,,Location,File name,Title,Link,
,,,,,,
2019-04-08,Mon,Dropbox\done\papers\LID,HGRU_ICASSP_2019.pdf,END-TO-END LANGUAGE RECOGNITION USING ATTENTION BASED HIERARCHICAL GATED RECURRENT UNIT MODELS,http://leap.ee.iisc.ac.in/navigation/publications/papers/HGRU_ICASSP_2019.pdf,
2019-04-09,Tue,,,"Intelligent Speech Signal Processing, chap. 1, 2, 5",https://books.google.co.kr/books?hl=en&lr=&id=8xuPDwAAQBAJ&oi=fnd&pg=PA81&ots=y5eme2CLl8&sig=mdChF-aDxpeZB5gAX_9NOa13ROI&redir_esc=y#v=onepage&q&f=false,
,,,,Chap 5. A Deep Dive into Deep Learning Techniques for Solving Spoken Language Identification Problems,,Himanish Shekhar Das and Pinki Roy
